Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
43590494;1000873162928622800;63741746120207;(-0.031, -0.088, -0.257);(0.294, 1.012, 358.364);VALID;-0.046489667147398, -0.0282787680625916, 0.998518407344818;0, 0, 0;VALID;-0.0341875925660133, -0.0315931253135204, 0.99891597032547;-0.0330438502132893, 0, 0;0.14472596347332;VALID;-0.0587841868400574, -0.0249598175287247, 0.997958600521088;0.0330438502132893, 0, 0;0.160501003265381;2;1
43590495;1000873162938594200;63741746120207;(-0.031, -0.088, -0.257);(0.294, 1.012, 358.364);VALID;-0.0463154129683971, -0.028400020673871, 0.998523056507111;0, 0, 0;VALID;-0.0337568670511246, -0.0317783318459988, 0.998924732208252;-0.0330438502132893, 0, 0;0.144380509853363;VALID;-0.0588661208748817, -0.025016900151968, 0.997952342033386;0.0330438502132893, 0, 0;0.160366356372833;2;1
43590496;1000873162948588000;63741746120224;(-0.031, -0.088, -0.257);(0.303, 1.007, 358.358);VALID;-0.0463938340544701, -0.0283806528896093, 0.998519957065582;0, 0, 0;VALID;-0.0338508822023869, -0.0316987931728363, 0.998924076557159;-0.0330438502132893, 0, 0;0.144754126667976;VALID;-0.0589289702475071, -0.025057727470994, 0.997947633266449;0.0330438502132893, 0, 0;0.160268291831017;2;1
43590497;1000873162958628900;63741746120224;(-0.031, -0.088, -0.257);(0.303, 1.007, 358.358);VALID;-0.0462208576500416, -0.0287045706063509, 0.998518764972687;0, 0, 0;VALID;-0.0337576381862164, -0.0317712053656578, 0.998924911022186;-0.0330438502132893, 0, 0;0.145701631903648;VALID;-0.0586764551699162, -0.0256332028657198, 0.997947871685028;0.0330438502132893, 0, 0;0.162703648209572;2;1
43590498;1000873162968731200;63741746120241;(-0.031, -0.088, -0.257);(0.310, 1.012, 358.366);VALID;-0.0462729707360268, -0.0286774579435587, 0.998517096042633;0, 0, 0;VALID;-0.0336518324911594, -0.0317014828324318, 0.998930692672729;-0.0330438502132893, 0, 0;0.14528289437294;VALID;-0.0588863044977188, -0.0256485976278782, 0.997935116291046;0.0330438502132893, 0, 0;0.159881561994553;2;1
43590499;1000873162978761900;63741746120257;(-0.031, -0.088, -0.257);(0.323, 1.002, 358.348);VALID;-0.046153899282217, -0.0288672316819429, 0.998517155647278;0, 0, 0;VALID;-0.0335496664047241, -0.0317659713327885, 0.998932123184204;-0.0330438502132893, 0, 0;0.144565418362617;VALID;-0.0587504059076309, -0.0259636584669352, 0.997934997081757;0.0330438502132893, 0, 0;0.160434201359749;2;1
43590500;1000873162988717800;63741746120257;(-0.031, -0.088, -0.257);(0.323, 1.002, 358.348);VALID;-0.0460443496704102, -0.0290254540741444, 0.998517632484436;0, 0, 0;VALID;-0.0334819182753563, -0.0317985489964485, 0.9989333152771;-0.0330438502132893, 0, 0;0.144574403762817;VALID;-0.0585991516709328, -0.0262475498020649, 0.997936487197876;0.0330438502132893, 0, 0;0.160484209656715;2;1
43590501;1000873162998752200;63741746120274;(-0.031, -0.088, -0.256);(0.343, 1.003, 358.327);VALID;-0.0459477752447128, -0.0291193574666977, 0.998519361019135;0, 0, 0;VALID;-0.0332587026059628, -0.0319855138659477, 0.998934805393219;-0.0330438502132893, 0, 0;0.144873425364494;VALID;-0.0586290620267391, -0.0262482687830925, 0.997934699058533;0.0330438502132893, 0, 0;0.160183563828468;2;1
43590502;1000873163008693900;63741746120274;(-0.031, -0.088, -0.256);(0.343, 1.003, 358.327);VALID;-0.0458896681666374, -0.0291108768433332, 0.998522281646729;0, 0, 0;VALID;-0.0330833345651627, -0.0319138206541538, 0.998942971229553;-0.0330438502132893, 0, 0;0.1444501131773;VALID;-0.05868811160326, -0.0263029243797064, 0.997929811477661;0.0330438502132893, 0, 0;0.160231828689575;2;1
43590503;1000873163018746900;63741746120290;(-0.031, -0.088, -0.256);(0.349, 1.003, 358.328);VALID;-0.0457269139587879, -0.0291439071297646, 0.998528778553009;0, 0, 0;VALID;-0.0327999219298363, -0.031997736543417, 0.998949587345123;-0.0330438502132893, 0, 0;0.144481003284454;VALID;-0.058645885437727, -0.0262849628925323, 0.997932732105255;0.0330438502132893, 0, 0;0.159953743219376;2;1
43590504;1000873163028851200;63741746120307;(-0.031, -0.088, -0.256);(0.365, 1.007, 358.345);VALID;-0.0457443781197071, -0.029085673391819, 0.998529672622681;0, 0, 0;VALID;-0.0328490808606148, -0.0319123789668083, 0.998950719833374;-0.0330438502132893, 0, 0;0.144397586584091;VALID;-0.0586316920816898, -0.0262538939714432, 0.997934401035309;0.0330438502132893, 0, 0;0.159817457199097;2;1
43590505;1000873163038851200;63741746120307;(-0.031, -0.088, -0.256);(0.365, 1.007, 358.345);VALID;-0.0456723794341087, -0.0291523169726133, 0.998530983924866;0, 0, 0;VALID;-0.0326957926154137, -0.0319465547800064, 0.998954653739929;-0.0330438502132893, 0, 0;0.144256740808487;VALID;-0.0586409121751785, -0.0263529382646084, 0.997931241989136;0.0330438502132893, 0, 0;0.160084202885628;2;1
43590506;1000873163048826500;63741746120324;(-0.031, -0.088, -0.256);(0.375, 1.006, 358.370);VALID;-0.0454846881330013, -0.0292583089321852, 0.998536467552185;0, 0, 0;VALID;-0.0323928855359554, -0.0319867767393589, 0.998963236808777;-0.0330438502132893, 0, 0;0.143775805830956;VALID;-0.0585683472454548, -0.0265246033668518, 0.997930943965912;0.0330438502132893, 0, 0;0.160006150603294;2;1
43590508;1000873163068902500;63741746120341;(-0.031, -0.088, -0.257);(0.381, 1.014, 358.388);VALID;-0.0450529456138611, -0.0293677002191544, 0.998552858829498;0, 0, 0;VALID;-0.0317247956991196, -0.0319616310298443, 0.998985469341278;-0.0330438502132893, 0, 0;0.143609955906868;VALID;-0.0583727769553661, -0.0267683491110802, 0.997935891151428;0.0330438502132893, 0, 0;0.160246625542641;2;1
43590509;1000873163078879200;63741746120357;(-0.031, -0.088, -0.257);(0.377, 1.001, 358.401);VALID;-0.0450083501636982, -0.0294623617082834, 0.998552083969116;0, 0, 0;VALID;-0.0316651239991188, -0.0319385677576065, 0.998988091945648;-0.0330438502132893, 0, 0;0.144198149442673;VALID;-0.0583432801067829, -0.0269807260483503, 0.997931897640228;0.0330438502132893, 0, 0;0.160028830170631;2;1
43590510;1000873163088844400;63741746120357;(-0.031, -0.088, -0.257);(0.377, 1.001, 358.401);VALID;-0.0448037087917328, -0.0293795671314001, 0.998563706874847;0, 0, 0;VALID;-0.031315378844738, -0.0317335315048695, 0.999005675315857;-0.0330438502132893, 0, 0;0.143390536308289;VALID;-0.0582836307585239, -0.0270200874656439, 0.997934341430664;0.0330438502132893, 0, 0;0.160398930311203;2;1
43590511;1000873163098970900;63741746120374;(-0.031, -0.088, -0.257);(0.374, 1.006, 358.419);VALID;-0.0446609295904636, -0.0295272227376699, 0.99856573343277;0, 0, 0;VALID;-0.031100632622838, -0.03183713555336, 0.999009072780609;-0.0330438502132893, 0, 0;0.143631085753441;VALID;-0.0582127645611763, -0.0272117145359516, 0.997933268547058;0.0330438502132893, 0, 0;0.160096764564514;2;1
43590512;1000873163108966800;63741746120390;(-0.031, -0.088, -0.256);(0.365, 0.995, 358.436);VALID;-0.0444684363901615, -0.0295508168637753, 0.998573660850525;0, 0, 0;VALID;-0.0308001525700092, -0.0317019261419773, 0.999022662639618;-0.0330438502132893, 0, 0;0.143209114670753;VALID;-0.0581282004714012, -0.0273940470069647, 0.997933208942413;0.0330438502132893, 0, 0;0.160078346729279;2;1
43590513;1000873163118970400;63741746120390;(-0.031, -0.088, -0.256);(0.365, 0.995, 358.436);VALID;-0.0443451441824436, -0.0295006893575192, 0.998580574989319;0, 0, 0;VALID;-0.0305680129677057, -0.0315712727606297, 0.999033987522125;-0.0330438502132893, 0, 0;0.143332108855248;VALID;-0.058113656938076, -0.0274243727326393, 0.997933208942413;0.0330438502132893, 0, 0;0.160191297531128;2;1
43590514;1000873163128999700;63741746120407;(-0.031, -0.088, -0.257);(0.344, 0.986, 358.449);VALID;-0.0441759787499905, -0.0295328237116337, 0.998587131500244;0, 0, 0;VALID;-0.0303252767771482, -0.0314509309828281, 0.999045133590698;-0.0330438502132893, 0, 0;0.143295809626579;VALID;-0.0580180324614048, -0.0276089366525412, 0.997933685779572;0.0330438502132893, 0, 0;0.160078346729279;2;1
43590515;1000873163139002800;63741746120407;(-0.031, -0.088, -0.257);(0.344, 0.986, 358.449);VALID;-0.0440344475209713, -0.0293862000107765, 0.998597741127014;0, 0, 0;VALID;-0.0301933027803898, -0.0312042869627476, 0.999056875705719;-0.0330438502132893, 0, 0;0.143452763557434;VALID;-0.0578670017421246, -0.0275623798370361, 0.997943758964539;0.0330438502132893, 0, 0;0.160041749477386;2;1
43590516;1000873163148939000;63741746120423;(-0.031, -0.088, -0.256);(0.323, 0.960, 358.459);VALID;-0.0439497753977776, -0.0293280500918627, 0.998603165149689;0, 0, 0;VALID;-0.0300967562943697, -0.0310266092419624, 0.999065339565277;-0.0330438502132893, 0, 0;0.143280640244484;VALID;-0.0577942281961441, -0.0276237707585096, 0.997946262359619;0.0330438502132893, 0, 0;0.160192728042603;2;1
43590517;1000873163159133300;63741746120440;(-0.031, -0.087, -0.256);(0.302, 0.927, 358.465);VALID;-0.0439315028488636, -0.0292143132537603, 0.998607277870178;0, 0, 0;VALID;-0.0300508178770542, -0.030789727345109, 0.999074041843414;-0.0330438502132893, 0, 0;0.143185317516327;VALID;-0.057803601026535, -0.0276331901550293, 0.997945487499237;0.0330438502132893, 0, 0;0.16024412214756;2;1
43590518;1000873163169115600;63741746120440;(-0.031, -0.087, -0.256);(0.302, 0.927, 358.465);VALID;-0.0435647740960121, -0.0291545987129211, 0.998625099658966;0, 0, 0;VALID;-0.0297247357666492, -0.0307083949446678, 0.999086320400238;-0.0330438502132893, 0, 0;0.144026637077332;VALID;-0.0573963560163975, -0.027595141902566, 0.997970044612885;0.0330438502132893, 0, 0;0.159908220171928;2;1
43590519;1000873163179131400;63741746120457;(-0.031, -0.087, -0.256);(0.270, 0.882, 358.492);VALID;-0.0434621647000313, -0.0290433801710606, 0.998632848262787;0, 0, 0;VALID;-0.029491700232029, -0.0306587386876345, 0.999094724655151;-0.0330438502132893, 0, 0;0.14362932741642;VALID;-0.0574240200221539, -0.027422271668911, 0.997973203659058;0.0330438502132893, 0, 0;0.158958598971367;2;1
43590520;1000873163189132400;63741746120457;(-0.031, -0.087, -0.256);(0.270, 0.882, 358.492);VALID;-0.0435790531337261, -0.0288326200097799, 0.998633861541748;0, 0, 0;VALID;-0.0294912680983543, -0.0303980447351933, 0.999102711677551;-0.0330438502132893, 0, 0;0.143176212906837;VALID;-0.0576580688357353, -0.0272613950073719, 0.997964084148407;0.0330438502132893, 0, 0;0.159039556980133;2;1
43590521;1000873163199130200;63741746120473;(-0.031, -0.087, -0.256);(0.244, 0.833, 358.535);VALID;-0.0435897782444954, -0.0287376921623945, 0.99863612651825;0, 0, 0;VALID;-0.0294704791158438, -0.0302407573908567, 0.999108076095581;-0.0330438502132893, 0, 0;0.143453568220139;VALID;-0.0577002801001072, -0.0272288266569376, 0.997962534427643;0.0330438502132893, 0, 0;0.159676119685173;2;1
43590522;1000873163209089800;63741746120490;(-0.031, -0.087, -0.256);(0.222, 0.765, 358.582);VALID;-0.0435030162334442, -0.0286394190043211, 0.99864274263382;0, 0, 0;VALID;-0.0292544756084681, -0.0300147235393524, 0.999121248722076;-0.0330438502132893, 0, 0;0.142527207732201;VALID;-0.0577426292002201, -0.0272582396864891, 0.997959315776825;0.0330438502132893, 0, 0;0.159676119685173;2;1
43590523;1000873163219250900;63741746120490;(-0.031, -0.087, -0.256);(0.222, 0.765, 358.582);VALID;-0.0435000658035278, -0.0284356884658337, 0.998648643493652;0, 0, 0;VALID;-0.0291419103741646, -0.0296247154474258, 0.999136209487915;-0.0330438502132893, 0, 0;0.142544731497765;VALID;-0.057849183678627, -0.027240751311183, 0.997953593730927;0.0330438502132893, 0, 0;0.159141272306442;2;1
43590524;1000873163229251800;63741746120507;(-0.031, -0.087, -0.255);(0.215, 0.684, 358.620);VALID;-0.0435055531561375, -0.0283136330544949, 0.998651921749115;0, 0, 0;VALID;-0.0290356073528528, -0.0292049553245306, 0.999151647090912;-0.0330438502132893, 0, 0;0.142790824174881;VALID;-0.0579663440585136, -0.0274163503199816, 0.99794203042984;0.0330438502132893, 0, 0;0.159288808703423;2;1
43590525;1000873163239264500;63741746120507;(-0.031, -0.087, -0.255);(0.215, 0.684, 358.620);VALID;-0.0431742817163467, -0.0282522514462471, 0.998668015003204;0, 0, 0;VALID;-0.0285159628838301, -0.0290380697697401, 0.999171495437622;-0.0330438502132893, 0, 0;0.142749190330505;VALID;-0.0578232854604721, -0.0274603385478258, 0.997949123382568;0.0330438502132893, 0, 0;0.159768491983414;2;1
43590526;1000873163249210200;63741746120524;(-0.032, -0.087, -0.255);(0.190, 0.617, 358.637);VALID;-0.0430165007710457, -0.0279673412442207, 0.998682856559753;0, 0, 0;VALID;-0.0282355882227421, -0.0284933671355248, 0.999195098876953;-0.0330438502132893, 0, 0;0.142832815647125;VALID;-0.0577879920601845, -0.027435190975666, 0.997951805591583;0.0330438502132893, 0, 0;0.15975059568882;2;1
43590527;1000873163259285900;63741746120540;(-0.032, -0.087, -0.255);(0.188, 0.535, 358.650);VALID;-0.0429343655705452, -0.0278589241206646, 0.998689413070679;0, 0, 0;VALID;-0.0280239414423704, -0.0282546393573284, 0.999207854270935;-0.0330438502132893, 0, 0;0.143285065889359;VALID;-0.0578352250158787, -0.0274570044130087, 0.997948467731476;0.0330438502132893, 0, 0;0.159214794635773;2;1
43590528;1000873163269242000;63741746120540;(-0.032, -0.087, -0.255);(0.188, 0.535, 358.650);VALID;-0.0427190884947777, -0.0278506595641375, 0.998698890209198;0, 0, 0;VALID;-0.0274991057813168, -0.0281104519963264, 0.99922651052475;-0.0330438502132893, 0, 0;0.142998725175858;VALID;-0.0579291582107544, -0.0275844056159258, 0.99793952703476;0.0330438502132893, 0, 0;0.160194039344788;2;1
43590529;1000873163279249200;63741746120557;(-0.032, -0.087, -0.255);(0.192, 0.456, 358.675);VALID;-0.042510025203228, -0.0279517620801926, 0.998704969882965;0, 0, 0;VALID;-0.0273511577397585, -0.0278051979839802, 0.999239087104797;-0.0330438502132893, 0, 0;0.143207505345345;VALID;-0.0576591119170189, -0.0280918963253498, 0.997941017150879;0.0330438502132893, 0, 0;0.162190601229668;2;1
43590530;1000873163289374400;63741746120557;(-0.032, -0.087, -0.255);(0.192, 0.456, 358.675);VALID;-0.0423782877624035, -0.0280171912163496, 0.998708724975586;0, 0, 0;VALID;-0.0272404253482819, -0.0276264436542988, 0.999247074127197;-0.0330438502132893, 0, 0;0.142855897545815;VALID;-0.0575064197182655, -0.0284015070647001, 0.997941076755524;0.0330438502132893, 0, 0;0.16247184574604;2;1
43590531;1000873163299380400;63741746120574;(-0.032, -0.087, -0.255);(0.211, 0.370, 358.723);VALID;-0.0422023572027683, -0.0282356031239033, 0.998710036277771;0, 0, 0;VALID;-0.0272125899791718, -0.0275025963783264, 0.999251246452332;-0.0330438502132893, 0, 0;0.142994180321693;VALID;-0.057182602584362, -0.0289622433483601, 0.997943580150604;0.0330438502132893, 0, 0;0.161461308598518;2;1
43590532;1000873163309337100;63741746120591;(-0.033, -0.087, -0.255);(0.238, 0.292, 358.776);VALID;-0.041556216776371, -0.0284145064651966, 0.998732030391693;0, 0, 0;VALID;-0.0268854387104511, -0.0273961946368217, 0.999263048171997;-0.0330438502132893, 0, 0;0.142826765775681;VALID;-0.0562179982662201, -0.0294266659766436, 0.997984766960144;0.0330438502132893, 0, 0;0.160483673214912;2;1
43590533;1000873163319414400;63741746120591;(-0.033, -0.087, -0.255);(0.238, 0.292, 358.776);VALID;-0.0409002006053925, -0.028574887663126, 0.998754560947418;0, 0, 0;VALID;-0.0266138277947903, -0.0274970103055239, 0.999267518520355;-0.0330438502132893, 0, 0;0.142637670040131;VALID;-0.055178165435791, -0.0296468921005726, 0.99803626537323;0.0330438502132893, 0, 0;0.160207167267799;2;1
43590534;1000873163329365800;63741746120607;(-0.033, -0.087, -0.255);(0.279, 0.233, 358.826);VALID;-0.0399757996201515, -0.0286471024155617, 0.99878990650177;0, 0, 0;VALID;-0.0257438719272614, -0.0275208335369825, 0.999289691448212;-0.0330438502132893, 0, 0;0.143366053700447;VALID;-0.0541995726525784, -0.0297675244510174, 0.998086333274841;0.0330438502132893, 0, 0;0.160133212804794;2;1
43590535;1000873163339380100;63741746120607;(-0.033, -0.087, -0.255);(0.279, 0.233, 358.826);VALID;-0.0390772372484207, -0.0285408608615398, 0.998828530311584;0, 0, 0;VALID;-0.0247658174484968, -0.0274603310972452, 0.999316036701202;-0.0330438502132893, 0, 0;0.142886325716972;VALID;-0.0533805973827839, -0.0296155046671629, 0.998134970664978;0.0330438502132893, 0, 0;0.160847753286362;2;1
43590536;1000873163349467800;63741746120623;(-0.033, -0.088, -0.255);(0.331, 0.185, 358.869);VALID;-0.0378268361091614, -0.0285224933177233, 0.998877167701721;0, 0, 0;VALID;-0.0229927822947502, -0.0275044720619917, 0.999357223510742;-0.0330438502132893, 0, 0;0.142114281654358;VALID;-0.0526525229215622, -0.0295342039316893, 0.998176038265228;0.0330438502132893, 0, 0;0.16106191277504;2;1
43590537;1000873163359544000;63741746120640;(-0.033, -0.088, -0.254);(0.395, 0.139, 358.909);VALID;-0.0366986654698849, -0.0285322070121765, 0.998918950557709;0, 0, 0;VALID;-0.021203150972724, -0.0275764111429453, 0.999394774436951;-0.0330438502132893, 0, 0;0.141931667923927;VALID;-0.0521853305399418, -0.0294811204075813, 0.99820214509964;0.0330438502132893, 0, 0;0.16106191277504;2;1
43590538;1000873163369493700;63741746120640;(-0.033, -0.088, -0.254);(0.395, 0.139, 358.909);VALID;-0.0354165472090244, -0.0288290679454803, 0.998956739902496;0, 0, 0;VALID;-0.019577519968152, -0.0278392657637596, 0.999420702457428;-0.0330438502132893, 0, 0;0.14246292412281;VALID;-0.0512466505169868, -0.0298116039484739, 0.998241007328033;0.0330438502132893, 0, 0;0.162196785211563;2;1
43590539;1000873163379521500;63741746120657;(-0.033, -0.088, -0.254);(0.465, 0.097, 358.957);VALID;-0.0341901034116745, -0.0290568675845861, 0.99899286031723;0, 0, 0;VALID;-0.0182102844119072, -0.0280570238828659, 0.999440431594849;-0.0330438502132893, 0, 0;0.143019318580627;VALID;-0.0501611493527889, -0.0300492569804192, 0.998288989067078;0.0330438502132893, 0, 0;0.162081271409988;2;1
43590540;1000873163389494800;63741746120657;(-0.033, -0.088, -0.254);(0.465, 0.097, 358.957);VALID;-0.0332594737410545, -0.0290432814508677, 0.99902468919754;0, 0, 0;VALID;-0.0170991662889719, -0.0281770639121532, 0.999456703662872;-0.0330438502132893, 0, 0;0.142388716340065;VALID;-0.0494110658764839, -0.0299018863588572, 0.99833083152771;0.0330438502132893, 0, 0;0.160491704940796;2;1
43590541;1000873163399492800;63741746120673;(-0.034, -0.088, -0.254);(0.543, 0.074, 359.007);VALID;-0.0326160080730915, -0.0290828458964825, 0.999044716358185;0, 0, 0;VALID;-0.0165447778999805, -0.0283572394400835, 0.999460935592651;-0.0330438502132893, 0, 0;0.142486706376076;VALID;-0.0486787892878056, -0.0298009198158979, 0.998369812965393;0.0330438502132893, 0, 0;0.160438403487206;2;1
43590542;1000873163409586500;63741746120690;(-0.034, -0.088, -0.254);(0.623, 0.056, 359.061);VALID;-0.0322415195405483, -0.0290095806121826, 0.999059021472931;0, 0, 0;VALID;-0.0163024961948395, -0.0282533019781113, 0.999467849731445;-0.0330438502132893, 0, 0;0.142028361558914;VALID;-0.0481723286211491, -0.0297584664076567, 0.998395621776581;0.0330438502132893, 0, 0;0.160450726747513;2;1
43590543;1000873163419638300;63741746120690;(-0.034, -0.088, -0.254);(0.623, 0.056, 359.061);VALID;-0.0315156541764736, -0.0288331639021635, 0.999087274074554;0, 0, 0;VALID;-0.015629855915904, -0.0282020214945078, 0.999480068683624;-0.0330438502132893, 0, 0;0.142074093222618;VALID;-0.0473934821784496, -0.0294570121914148, 0.998441874980927;0.0330438502132893, 0, 0;0.162003293633461;2;1
43590544;1000873163429596600;63741746120707;(-0.034, -0.088, -0.254);(0.695, 0.038, 359.125);VALID;-0.0309561714529991, -0.0286455750465393, 0.999110162258148;0, 0, 0;VALID;-0.0149009954184294, -0.0280626863241196, 0.999495089054108;-0.0330438502132893, 0, 0;0.142279848456383;VALID;-0.0470033511519432, -0.0292210672050714, 0.998467206954956;0.0330438502132893, 0, 0;0.161766141653061;2;1
43590545;1000873163439631300;63741746120707;(-0.034, -0.088, -0.254);(0.695, 0.038, 359.125);VALID;-0.0304747130721807, -0.0283479820936918, 0.999133467674255;0, 0, 0;VALID;-0.0146745825186372, -0.0277357585728168, 0.999507546424866;-0.0330438502132893, 0, 0;0.141739293932915;VALID;-0.0462672188878059, -0.0289531126618385, 0.998509407043457;0.0330438502132893, 0, 0;0.161625996232033;2;1
43590546;1000873163449584000;63741746120723;(-0.034, -0.089, -0.254);(0.764, 0.009, 359.182);VALID;-0.0296786688268185, -0.0278885960578918, 0.999170362949371;0, 0, 0;VALID;-0.0138663370162249, -0.0275611784309149, 0.999523937702179;-0.0330438502132893, 0, 0;0.141751810908318;VALID;-0.0454835742712021, -0.0282090324908495, 0.998566746711731;0.0330438502132893, 0, 0;0.160770550370216;2;1
43590547;1000873163459618300;63741746120740;(-0.035, -0.089, -0.254);(0.822, 359.993, 359.239);VALID;-0.0295261200517416, -0.0275777354836464, 0.999183475971222;0, 0, 0;VALID;-0.0137404054403305, -0.0271772928535938, 0.999536216259003;-0.0330438502132893, 0, 0;0.143384277820587;VALID;-0.0453044697642326, -0.0279712956398726, 0.998581528663635;0.0330438502132893, 0, 0;0.160882741212845;2;1
43590548;1000873163469633000;63741746120740;(-0.035, -0.089, -0.254);(0.822, 359.993, 359.239);VALID;-0.0293854065239429, -0.0272200610488653, 0.999197483062744;0, 0, 0;VALID;-0.0135497357696295, -0.0269055012613535, 0.99954617023468;-0.0330438502132893, 0, 0;0.142359793186188;VALID;-0.0452137030661106, -0.0275277905166149, 0.998597979545593;0.0330438502132893, 0, 0;0.159579306840897;2;1
43590549;1000873163479748200;63741746120757;(-0.035, -0.089, -0.254);(0.876, 359.962, 359.286);VALID;-0.0289767533540726, -0.0267248321324587, 0.999222755432129;0, 0, 0;VALID;-0.0130249354988337, -0.0267150960862637, 0.999558210372925;-0.0330438502132893, 0, 0;0.142136439681053;VALID;-0.0449211932718754, -0.0267277657985687, 0.998632907867432;0.0330438502132893, 0, 0;0.158892765641212;2;1
43590550;1000873163489732800;63741746120757;(-0.035, -0.089, -0.254);(0.876, 359.962, 359.286);VALID;-0.0284292623400688, -0.0258421581238508, 0.999261736869812;0, 0, 0;VALID;-0.0125032868236303, -0.0257943496108055, 0.999589085578918;-0.0330438502132893, 0, 0;0.14283786714077;VALID;-0.0443480238318443, -0.0258834101259708, 0.998680770397186;0.0330438502132893, 0, 0;0.159641951322556;2;1
